Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Socio_Economic_Status,Final_Percentage,Final_Result
S1058,2,97.3,45.0,49.2,50.0,1,45.0,Fail
S1059,2,97.3,75.0,82.4,80.0,3,80.0,Pass
S1060,2,92.0,50.0,50.1,55.0,3,55.0,Pass
S1061,1,92.0,50.0,44.1,40.0,1,55.0,Pass
S1062,2,94.7,40.0,39.5,50.0,1,45.0,Fail
S1063,3,97.3,50.0,41.5,45.0,3,45.0,Fail
S1064,2,100.0,50.0,54.1,50.0,3,50.0,Pass
S1065,2,97.3,80.0,84.3,75.0,3,75.0,Pass
S1066,4,94.7,65.0,64.6,65.0,3,60.0,Pass
S1067,4,94.7,35.0,40.0,35.0,2,30.0,Fail
S1068,2,97.3,40.0,44.3,45.0,2,40.0,Fail
S1069,4,84.0,80.0,76.8,80.0,2,80.0,Pass
S1070,4,100.0,65.0,71.8,75.0,2,75.0,Pass
S1071,4,100.0,50.0,57.7,50.0,3,50.0,Pass
S1072,2,97.3,40.0,34.8,30.0,1,25.0,Fail
S1073,1,97.3,60.0,67.8,60.0,2,70.0,Pass
S1074,2,28.0,55.0,44.4,60.0,3,55.0,Pass
S1075,2,92.0,45.0,49.1,45.0,3,50.0,Pass
S1076,4,89.3,55.0,55.4,55.0,2,50.0,Pass
S1077,4,100.0,55.0,53.5,55.0,2,55.0,Pass
S1078,1,97.3,40.0,40.5,40.0,1,50.0,Pass
S1079,2,84.0,25.0,15.1,25.0,3,25.0,Fail
S1080,1,97.3,50.0,53.9,60.0,2,60.0,Pass
S1081,3,94.7,55.0,54.3,50.0,2,55.0,Pass
S1082,2,86.7,35.0,39.9,30.0,2,30.0,Fail
S1083,2,94.7,75.0,72.4,75.0,2,75.0,Pass
S1084,2,97.3,45.0,43.5,50.0,1,50.0,Pass
S1085,2,92.0,35.0,37.5,45.0,3,40.0,Fail
S1086,2,94.7,40.0,42.1,35.0,2,30.0,Fail
S1087,3,94.7,65.0,69.1,70.0,3,70.0,Pass
S1088,2,84.0,55.0,49.9,50.0,2,50.0,Pass
S1089,2,76.0,40.0,37.6,30.0,3,35.0,Fail
S1090,3,100.0,35.0,35.5,35.0,3,40.0,Fail
S1091,1,94.7,80.0,87.3,85.0,3,90.0,Pass
S1092,2,94.7,35.0,29.0,30.0,2,30.0,Fail
S1093,2,100.0,55.0,50.9,50.0,3,50.0,Pass
S1094,4,92.0,55.0,58.0,65.0,2,70.0,Pass
S1095,4,97.3,35.0,35.2,50.0,1,50.0,Pass
S1096,1,97.3,55.0,66.5,75.0,3,75.0,Pass
S1097,2,97.3,40.0,43.8,45.0,1,50.0,Pass
S1098,1,92.0,55.0,62.5,70.0,3,70.0,Pass
S1099,3,100.0,35.0,38.8,45.0,3,40.0,Fail
S1100,1,81.3,35.0,27.9,35.0,3,25.0,Fail
S1101,3,100.0,80.0,80.4,85.0,3,85.0,Pass
S1102,1,94.7,50.0,55.8,65.0,3,70.0,Pass
S1103,2,65.3,35.0,28.5,30.0,2,30.0,Fail
S1104,2,100.0,80.0,84.2,90.0,3,90.0,Pass
S1105,4,86.7,50.0,54.5,55.0,3,55.0,Pass
S1106,4,89.3,35.0,46.9,40.0,2,40.0,Fail
S1107,3,97.3,80.0,85.9,90.0,3,90.0,Pass
S1108,4,92.0,50.0,58.8,65.0,3,65.0,Pass
S1109,3,94.7,70.0,72.1,75.0,3,80.0,Pass
S1110,1,92.0,90.0,82.9,95.0,3,95.0,Pass
S1111,3,100.0,35.0,42.4,50.0,3,50.0,Pass
S1112,2,92.0,50.0,57.8,65.0,2,65.0,Pass
S1113,1,86.7,90.0,100.0,95.0,3,95.0,Pass
S1114,2,89.3,45.0,44.0,45.0,1,45.0,Fail
S1115,2,97.3,75.0,76.5,75.0,3,80.0,Pass
S1116,2,97.3,55.0,59.8,65.0,3,70.0,Pass
S1117,1,100.0,65.0,61.7,70.0,3,65.0,Pass
S1118,2,73.3,45.0,45.7,35.0,2,40.0,Fail
S1119,1,92.0,70.0,71.3,65.0,3,65.0,Pass
S1120,2,97.3,80.0,81.5,75.0,1,75.0,Pass
S1121,4,92.0,80.0,70.5,70.0,2,75.0,Pass
S1122,2,97.3,65.0,72.0,65.0,3,65.0,Pass
S1123,1,76.0,70.0,55.5,55.0,3,65.0,Pass
S1124,2,100.0,40.0,40.4,35.0,2,40.0,Fail
S1125,1,100.0,65.0,76.0,65.0,3,60.0,Pass
S1126,2,100.0,35.0,37.5,50.0,3,55.0,Pass
S1127,2,97.3,35.0,34.7,40.0,1,45.0,Fail
S1128,1,100.0,35.0,28.0,20.0,2,0.0,Fail
S1129,1,89.3,90.0,87.5,90.0,3,90.0,Pass
S1130,3,100.0,60.0,22.2,0.0,3,0.0,Fail
S1131,1,100.0,40.0,20.3,0.0,1,0.0,Fail
S1132,1,84.0,50.0,52.2,65.0,2,60.0,Pass
S1133,1,78.7,60.0,59.9,55.0,3,55.0,Pass
S1134,2,100.0,45.0,17.9,0.0,3,0.0,Fail
S1135,3,100.0,55.0,35.2,0.0,3,0.0,Fail
S1136,2,100.0,50.0,21.1,0.0,3,0.0,Fail
S1137,1,100.0,20.0,8.4,0.0,3,0.0,Fail
S1138,2,100.0,70.0,69.1,60.0,1,60.0,Pass
S1139,1,100.0,80.0,73.8,80.0,3,75.0,Pass
S1140,4,100.0,35.0,41.1,45.0,3,0.0,Fail
S1141,1,89.3,45.0,51.5,45.0,2,45.0,Fail
S1142,3,97.3,45.0,42.0,55.0,3,55.0,Pass
S1143,1,97.3,70.0,70.9,70.0,1,65.0,Pass
S1144,1,100.0,25.0,13.8,0.0,1,0.0,Fail
S1145,2,100.0,40.0,51.4,55.0,1,55.0,Pass
S1146,2,100.0,30.0,26.3,35.0,2,0.0,Fail
S1147,2,97.3,50.0,45.9,55.0,1,55.0,Pass
S1148,1,100.0,35.0,35.1,30.0,3,0.0,Fail
S1149,1,100.0,40.0,44.0,45.0,1,50.0,Pass
S1150,1,100.0,30.0,28.8,25.0,1,0.0,Fail
S1151,1,92.0,60.0,64.2,65.0,1,70.0,Pass
S1152,3,89.3,50.0,46.6,50.0,3,50.0,Pass
S1153,1,100.0,25.0,13.7,0.0,2,0.0,Fail
S1154,1,100.0,55.0,56.5,55.0,3,60.0,Pass
S1155,2,97.3,55.0,43.9,40.0,2,40.0,Fail
S1156,1,89.3,80.0,79.3,60.0,1,65.0,Pass
S1157,1,92.0,45.0,44.9,40.0,1,50.0,Pass
S1158,1,97.3,85.0,74.0,75.0,2,75.0,Pass
S1159,2,94.7,50.0,58.3,60.0,3,60.0,Pass
S1160,1,100.0,35.0,27.6,30.0,1,0.0,Fail
S1161,2,92.0,25.0,38.9,45.0,2,35.0,Fail
S1162,1,100.0,35.0,23.3,0.0,1,0.0,Fail
S1163,1,97.3,50.0,45.9,50.0,2,50.0,Pass
S1164,2,100.0,25.0,37.3,40.0,1,35.0,Fail
S1165,1,78.7,60.0,59.6,55.0,2,60.0,Pass
S1166,2,94.7,50.0,54.1,50.0,2,50.0,Pass
S1167,2,100.0,70.0,82.0,75.0,3,80.0,Pass
S1168,2,100.0,30.0,31.3,35.0,2,0.0,Fail
S1169,2,100.0,70.0,66.2,70.0,3,70.0,Pass
S1170,1,100.0,30.0,23.1,25.0,3,0.0,Fail
S1171,2,97.3,65.0,65.9,75.0,1,80.0,Pass
S1172,2,100.0,65.0,59.6,55.0,3,50.0,Pass
S1173,2,100.0,40.0,39.2,35.0,2,0.0,Fail
S1174,2,94.7,50.0,53.9,55.0,3,45.0,Fail
S1175,2,94.7,50.0,51.6,45.0,3,45.0,Fail
S1176,2,97.3,65.0,65.1,65.0,2,55.0,Pass
S1177,2,94.7,30.0,34.8,25.0,3,30.0,Fail
S1178,1,86.7,50.0,43.7,40.0,3,45.0,Fail
S1179,2,94.7,50.0,63.6,50.0,3,55.0,Pass
S1180,2,86.7,45.0,45.6,40.0,3,40.0,Fail
S1181,2,97.3,60.0,58.2,65.0,3,60.0,Pass
S1182,2,100.0,80.0,77.1,85.0,3,85.0,Pass
S1183,2,25.3,45.0,47.4,45.0,3,40.0,Fail
S1184,2,81.3,60.0,61.4,65.0,2,60.0,Pass
S1185,2,84.0,60.0,63.6,60.0,3,55.0,Pass
S1186,1,97.3,55.0,59.9,60.0,1,55.0,Pass
S1187,2,100.0,75.0,74.6,75.0,1,75.0,Pass
S1188,2,92.0,40.0,33.3,35.0,3,45.0,Fail
S1189,2,94.7,40.0,34.9,45.0,1,50.0,Pass
S1190,2,86.7,55.0,55.3,60.0,2,65.0,Pass
S1191,2,100.0,40.0,44.3,40.0,1,45.0,Fail
S1192,2,84.0,35.0,38.6,40.0,1,40.0,Fail
S1193,1,89.3,40.0,36.3,45.0,3,50.0,Pass
S1194,1,100.0,65.0,68.4,70.0,2,70.0,Pass
S1195,2,100.0,70.0,74.4,75.0,3,75.0,Pass
S1196,1,94.7,85.0,75.6,75.0,3,80.0,Pass
S1197,1,89.3,45.0,45.8,45.0,3,50.0,Pass
S1198,1,68.0,90.0,90.3,90.0,3,90.0,Pass
S1199,2,100.0,45.0,39.3,45.0,3,50.0,Pass
S1200,2,97.3,80.0,81.8,80.0,3,80.0,Pass
S1201,2,92.0,40.0,47.8,50.0,2,50.0,Pass
S1202,2,94.7,45.0,50.4,45.0,1,50.0,Pass
S1203,1,76.0,35.0,37.8,30.0,2,30.0,Fail
S1204,4,92.0,50.0,43.1,50.0,2,55.0,Pass
S1205,3,62.7,50.0,42.8,45.0,3,45.0,Fail
S1206,2,93.3,35.0,37.6,35.0,2,35.0,Fail
S1207,2,86.7,55.0,60.1,60.0,3,65.0,Pass
S1208,1,92.0,45.0,47.6,45.0,1,50.0,Pass
S1209,3,92.0,35.0,54.3,35.0,3,35.0,Fail
S1210,4,86.7,40.0,42.9,40.0,3,40.0,Fail
S1211,2,82.7,60.0,65.7,60.0,3,65.0,Pass
S1212,2,100.0,60.0,67.3,65.0,2,70.0,Pass
S1213,2,80.0,30.0,35.8,35.0,2,40.0,Fail
S1214,1,84.0,40.0,43.4,50.0,3,50.0,Pass
S1215,2,97.3,70.0,76.3,75.0,2,75.0,Pass
S1216,2,70.7,30.0,26.1,30.0,3,20.0,Fail
S1217,2,82.7,30.0,28.8,30.0,3,40.0,Fail
S1218,1,96.0,35.0,32.6,35.0,2,40.0,Fail
S1219,3,94.7,45.0,47.9,50.0,2,50.0,Pass
S1220,2,97.3,30.0,41.6,30.0,1,30.0,Fail
S1221,3,100.0,30.0,18.2,25.0,1,0.0,Fail
S1222,2,97.3,80.0,83.4,80.0,2,85.0,Pass
S1223,2,100.0,60.0,54.4,65.0,2,65.0,Pass
S1224,3,100.0,65.0,62.6,65.0,3,70.0,Pass
S1225,2,78.7,45.0,47.9,40.0,2,35.0,Fail
S1226,2,86.7,80.0,77.8,75.0,2,75.0,Pass
S1227,2,97.3,60.0,52.1,55.0,2,60.0,Pass
S1228,2,81.3,50.0,41.4,40.0,1,45.0,Fail
S1229,3,86.7,60.0,58.4,50.0,1,60.0,Pass
S1230,2,81.3,65.0,61.3,65.0,3,70.0,Pass
S1231,2,94.7,55.0,56.1,55.0,2,55.0,Pass
S1232,2,81.3,55.0,50.2,45.0,3,45.0,Fail
S1233,2,97.3,70.0,64.2,65.0,3,65.0,Pass
S1234,2,76.0,45.0,50.7,35.0,1,30.0,Fail
S1235,3,86.7,55.0,53.2,45.0,2,50.0,Pass
S1236,2,94.7,70.0,57.4,65.0,2,65.0,Pass
S1237,1,73.3,65.0,63.4,60.0,1,60.0,Pass
S1238,2,97.3,65.0,56.7,55.0,1,55.0,Pass
S1239,2,100.0,35.0,39.3,35.0,2,0.0,Fail
S1240,2,81.3,60.0,56.0,60.0,3,60.0,Pass
S1241,2,97.3,50.0,51.9,55.0,3,60.0,Pass
S1242,1,100.0,30.0,17.5,0.0,3,0.0,Fail
S1243,1,100.0,65.0,66.8,60.0,3,60.0,Pass
S1244,3,100.0,35.0,11.5,0.0,1,0.0,Fail
S1245,1,92.0,90.0,88.3,90.0,1,90.0,Pass
S1246,1,94.7,60.0,57.6,60.0,2,65.0,Pass
S1247,1,78.7,30.0,31.7,40.0,2,40.0,Fail
S1248,2,89.3,15.0,28.8,25.0,3,25.0,Fail
S1249,1,100.0,65.0,72.0,75.0,1,75.0,Pass
S1250,1,100.0,30.0,28.7,40.0,2,40.0,Fail
S1251,2,92.0,35.0,47.1,50.0,3,50.0,Pass
S1252,1,94.7,30.0,48.1,45.0,1,40.0,Fail
S1253,1,100.0,40.0,47.7,45.0,1,40.0,Fail
S1254,1,100.0,40.0,42.4,60.0,1,60.0,Pass
S1255,1,97.3,35.0,37.6,45.0,1,40.0,Fail
S1256,4,92.0,70.0,71.3,60.0,3,65.0,Pass
S1257,2,84.0,55.0,51.5,55.0,3,55.0,Pass
S1258,2,89.3,75.0,74.7,70.0,1,70.0,Pass
S1259,4,100.0,50.0,51.4,45.0,2,0.0,Fail
S1260,2,72.0,85.0,82.9,90.0,3,90.0,Pass
S1261,2,97.3,40.0,39.7,40.0,3,40.0,Fail
S1262,3,98.7,65.0,46.3,60.0,2,60.0,Pass
S1263,3,94.7,50.0,42.4,45.0,3,45.0,Fail
S1264,3,100.0,45.0,46.2,50.0,2,0.0,Fail
S1265,2,82.7,85.0,78.8,85.0,3,85.0,Pass
S1266,2,97.3,45.0,53.2,45.0,2,50.0,Pass
S1267,2,89.3,60.0,47.8,50.0,3,55.0,Pass
S1268,2,86.7,50.0,45.3,45.0,3,50.0,Pass
S1269,2,100.0,30.0,15.7,0.0,1,0.0,Fail
S1270,2,80.0,45.0,52.2,45.0,3,45.0,Fail
S1271,4,94.7,75.0,65.3,70.0,2,70.0,Pass
S1272,2,97.3,55.0,60.8,55.0,1,55.0,Pass
S1273,2,97.3,75.0,72.6,70.0,1,70.0,Pass
S1274,2,97.3,50.0,45.1,50.0,3,50.0,Pass
S1275,2,92.0,60.0,62.3,60.0,2,60.0,Pass
S1276,2,0.0,50.0,48.5,45.0,2,45.0,Fail
S1277,1,70.7,45.0,42.0,45.0,3,45.0,Fail
S1278,2,80.0,45.0,42.8,40.0,3,40.0,Fail
S1279,1,89.3,50.0,50.6,55.0,3,50.0,Pass
S1280,1,60.0,40.0,40.6,40.0,2,40.0,Fail
S1281,1,74.7,55.0,53.3,45.0,2,50.0,Pass
S1282,4,98.7,60.0,67.9,60.0,1,60.0,Pass
S1283,2,94.7,40.0,36.3,45.0,1,50.0,Pass
S1284,2,94.7,50.0,58.2,45.0,2,55.0,Pass
S1285,2,97.3,60.0,45.2,50.0,1,55.0,Pass
S1286,3,93.3,90.0,89.2,90.0,2,95.0,Pass
S1287,3,92.0,65.0,65.4,60.0,1,60.0,Pass
S1288,3,92.0,75.0,73.9,70.0,1,70.0,Pass
S1289,2,88.0,75.0,66.9,65.0,3,75.0,Pass
S1290,2,85.3,60.0,56.5,55.0,3,55.0,Pass
S1291,3,100.0,75.0,72.5,75.0,3,75.0,Pass
S1292,2,84.0,60.0,57.1,60.0,1,65.0,Pass
S1293,4,92.0,90.0,94.2,90.0,2,90.0,Pass
S1294,3,89.3,70.0,69.3,65.0,2,70.0,Pass
S1295,1,94.7,70.0,61.5,60.0,3,55.0,Pass
S1296,2,100.0,50.0,52.0,45.0,3,0.0,Fail
S1297,2,86.7,50.0,46.5,40.0,3,40.0,Fail
S1298,4,100.0,70.0,71.6,65.0,3,70.0,Pass
S1299,1,93.3,80.0,80.6,75.0,3,80.0,Pass
S1300,2,81.3,60.0,50.9,50.0,3,55.0,Pass
S1301,1,100.0,55.0,52.2,55.0,3,50.0,Pass
S1302,3,100.0,75.0,71.2,60.0,3,70.0,Pass
S1303,4,100.0,85.0,88.1,85.0,2,90.0,Pass
S1304,2,73.3,75.0,72.4,70.0,3,65.0,Pass
S1305,2,89.3,70.0,65.6,60.0,3,60.0,Pass
S1306,1,100.0,85.0,93.9,90.0,2,90.0,Pass
S1307,1,49.3,40.0,39.5,45.0,3,40.0,Fail
S1308,2,100.0,75.0,70.2,60.0,3,60.0,Pass
S1309,2,76.0,60.0,54.0,50.0,1,50.0,Pass
S1310,2,100.0,45.0,43.9,45.0,1,0.0,Fail
S1311,2,73.3,70.0,70.5,60.0,1,65.0,Pass
S1312,2,96.0,65.0,64.1,55.0,1,55.0,Pass
S1313,2,70.7,65.0,61.6,50.0,2,55.0,Pass
S1314,3,81.3,75.0,76.5,65.0,1,65.0,Pass
S1315,3,46.7,65.0,60.1,55.0,2,55.0,Pass
S1316,2,100.0,40.0,43.4,40.0,1,0.0,Fail
S1317,3,88.0,45.0,45.9,50.0,3,45.0,Fail
S1318,3,100.0,55.0,56.6,55.0,3,50.0,Pass
S1319,2,97.3,55.0,54.3,55.0,3,55.0,Pass
S1320,2,69.3,65.0,65.5,65.0,3,65.0,Pass
S1321,2,84.0,55.0,53.0,45.0,2,45.0,Fail
S1322,3,96.0,55.0,50.9,55.0,2,55.0,Pass
S1323,3,98.7,60.0,75.5,70.0,2,75.0,Pass
S1324,3,100.0,80.0,72.5,75.0,1,75.0,Pass
S1325,3,96.0,45.0,46.4,60.0,3,55.0,Pass
S1326,1,96.0,70.0,78.3,75.0,3,80.0,Pass
S1327,1,89.3,55.0,56.5,50.0,2,50.0,Pass
S1328,3,90.7,50.0,50.6,45.0,3,45.0,Fail
S1329,3,94.7,70.0,73.1,70.0,3,70.0,Pass
S1330,4,97.3,45.0,42.4,40.0,2,40.0,Fail
S1331,3,90.7,60.0,60.5,70.0,3,70.0,Pass
S1332,2,100.0,35.0,17.9,0.0,3,0.0,Fail
S1333,2,100.0,40.0,36.6,40.0,2,0.0,Fail
S1334,4,100.0,50.0,52.4,45.0,2,0.0,Fail
S1335,3,78.7,80.0,76.8,75.0,3,75.0,Pass
S1336,3,84.0,70.0,63.4,65.0,2,65.0,Pass
S1337,2,100.0,35.0,35.9,40.0,2,0.0,Fail
S1338,4,90.7,80.0,79.6,75.0,3,85.0,Pass
S1339,2,94.7,45.0,44.7,50.0,2,50.0,Pass
S1340,3,94.7,55.0,53.4,60.0,1,55.0,Pass
S1341,2,100.0,50.0,51.2,50.0,3,0.0,Fail
S1342,2,85.3,80.0,78.7,75.0,3,75.0,Pass
S1343,2,100.0,45.0,40.0,40.0,2,0.0,Fail
S1344,3,94.7,55.0,50.1,50.0,2,50.0,Pass
S1345,3,90.7,65.0,66.2,65.0,2,70.0,Pass
S1346,3,88.0,80.0,70.3,75.0,3,80.0,Pass
S1347,3,100.0,50.0,43.0,50.0,3,45.0,Fail
S1348,3,100.0,65.0,66.4,75.0,3,75.0,Pass
S1349,1,86.7,55.0,58.9,65.0,2,65.0,Pass
S1350,2,89.3,40.0,39.1,35.0,1,40.0,Fail
S1351,2,97.3,65.0,72.4,65.0,3,65.0,Pass
S1352,1,90.7,40.0,41.8,35.0,2,40.0,Fail
S1353,1,94.7,40.0,39.2,40.0,1,40.0,Fail
S1354,2,94.7,65.0,59.9,55.0,3,55.0,Pass
S1355,2,100.0,50.0,42.5,45.0,3,45.0,Fail
S1356,2,94.7,60.0,62.4,65.0,3,65.0,Pass
S1357,2,97.3,60.0,58.6,60.0,2,55.0,Pass
S1358,1,94.7,50.0,51.6,50.0,1,50.0,Pass
S1359,3,100.0,90.0,80.9,80.0,1,80.0,Pass
S1360,2,100.0,65.0,67.6,65.0,2,65.0,Pass
S1361,2,97.3,65.0,70.2,60.0,1,60.0,Pass
S1362,2,100.0,55.0,54.5,55.0,3,50.0,Pass
S1363,2,100.0,80.0,79.5,75.0,3,75.0,Pass
S1364,2,100.0,60.0,61.0,55.0,1,60.0,Pass
S1365,2,94.7,50.0,48.0,50.0,2,50.0,Pass
S1366,3,100.0,65.0,66.1,65.0,3,65.0,Pass
S1367,1,100.0,35.0,32.6,30.0,1,0.0,Fail
S1368,1,100.0,55.0,53.0,50.0,2,50.0,Pass
S1369,2,86.7,70.0,61.1,60.0,3,55.0,Pass
S1370,2,94.7,35.0,35.1,35.0,2,45.0,Fail
S1371,1,96.0,70.0,67.5,60.0,1,60.0,Pass
S1372,3,89.3,65.0,67.3,55.0,2,55.0,Pass
S1373,1,81.3,30.0,32.3,25.0,1,25.0,Fail
S1374,3,100.0,95.0,100.0,90.0,3,95.0,Pass
S1375,3,97.3,40.0,36.2,40.0,1,50.0,Pass
S1376,3,94.7,75.0,76.9,70.0,3,75.0,Pass
S1377,2,94.7,40.0,43.4,45.0,3,50.0,Pass
S1378,2,100.0,75.0,85.9,75.0,3,75.0,Pass
S1379,2,77.3,50.0,46.0,50.0,2,50.0,Pass
S1380,2,94.7,75.0,68.3,70.0,3,70.0,Pass
S1381,1,93.3,35.0,29.5,30.0,1,35.0,Fail
S1382,2,97.3,55.0,44.4,55.0,2,50.0,Pass
S1383,1,100.0,30.0,24.9,25.0,1,0.0,Fail
S1384,1,81.3,30.0,23.7,25.0,3,25.0,Fail
S1385,3,97.3,50.0,48.3,45.0,2,50.0,Pass
S1386,1,90.7,30.0,29.2,25.0,3,30.0,Fail
S1387,3,100.0,35.0,39.4,25.0,2,0.0,Fail
S1388,2,100.0,35.0,44.8,45.0,2,40.0,Fail
S1389,2,100.0,30.0,24.6,25.0,1,0.0,Fail
S1390,2,85.3,45.0,40.5,45.0,2,45.0,Fail
S1391,1,96.0,70.0,77.5,80.0,2,80.0,Pass
S1392,1,96.0,50.0,38.4,40.0,1,35.0,Fail
S1393,1,100.0,55.0,66.7,60.0,2,50.0,Pass
S1394,1,93.3,40.0,48.4,45.0,1,45.0,Fail
